,precision,recall,f1-score,support,Timestamp
accuracy,0.8924,0.8924,0.8924,0.8924,09102024_014349
macro avg,0.8921252465754683,0.8924,0.8903790171227521,10000.0,09102024_014349
weighted avg,0.8921252465754683,0.8924,0.8903790171227521,10000.0,09102024_014349
0,0.8330152671755725,0.873,0.8525390625,1000.0,09102024_014914
1,0.998963730569948,0.964,0.9811704834605598,1000.0,09102024_014914
2,0.8385786802030457,0.826,0.8322418136020151,1000.0,09102024_014914
3,0.9071428571428573,0.889,0.897979797979798,1000.0,09102024_014914
4,0.803921568627451,0.861,0.8314823756639305,1000.0,09102024_014914
5,0.9725888324873097,0.958,0.9652392947103274,1000.0,09102024_014914
6,0.7112299465240641,0.665,0.6873385012919897,1000.0,09102024_014914
7,0.927675988428158,0.962,0.944526264113893,1000.0,09102024_014914
8,0.9681908548707754,0.974,0.971086739780658,1000.0,09102024_014914
9,0.9676113360323888,0.956,0.9617706237424548,1000.0,09102024_014914
accuracy,0.8928,0.8928,0.8928,0.8928,09102024_014914
macro avg,0.8928919062061571,0.8927999999999999,0.8925374956845626,10000.0,09102024_014914
